slug,display_name,frame_index,time_seconds,width,height,wet_area_px,dry_area_px,wet_fraction_roi,wet_fraction_frame,annotation_count
input3,Run C,1,0.0,1920,1088,0,0.0,0.0,0.0,0
input3,Run C,2,0.3003,1920,1088,71864.0,0.0,0.034402,0.034402,3
input3,Run C,3,0.6006,1920,1088,211253.0,0.0,0.101128,0.101128,1
input3,Run C,4,0.9009,1920,1088,282718.0,0.0,0.135339,0.135339,1
input3,Run C,5,1.2012,1920,1088,334392.0,0.0,0.160076,0.160076,1
input3,Run C,6,1.5015,1920,1088,379368.0,0.0,0.181606,0.181606,1
input3,Run C,7,1.8018,1920,1088,414468.0,0.0,0.198409,0.198409,1
input3,Run C,8,2.1021,1920,1088,440058.0,0.0,0.210659,0.210659,1
input3,Run C,9,2.4024,1920,1088,460433.0,0.0,0.220413,0.220413,1
input3,Run C,10,2.7027,1920,1088,479095.0,0.0,0.229346,0.229346,1
input3,Run C,11,3.003,1920,1088,496930.0,0.0,0.237884,0.237884,1
input3,Run C,12,3.3033,1920,1088,513211.0,0.0,0.245678,0.245678,1
input3,Run C,13,3.6036,1920,1088,529193.0,0.0,0.253328,0.253328,1
input3,Run C,14,3.9039,1920,1088,543924.0,0.0,0.26038,0.26038,1
input3,Run C,15,4.2042,1920,1088,558243.0,0.0,0.267235,0.267235,1
input3,Run C,16,4.5045,1920,1088,572780.0,0.0,0.274194,0.274194,1
input3,Run C,17,4.8048,1920,1088,586749.0,0.0,0.280881,0.280881,1
input3,Run C,18,5.10511,1920,1088,599976.0,0.0,0.287213,0.287213,1
input3,Run C,19,5.40541,1920,1088,613511.0,0.0,0.293692,0.293692,1
input3,Run C,20,5.70571,1920,1088,626012.0,0.0,0.299676,0.299676,1
input3,Run C,21,6.00601,1920,1088,638198.0,0.0,0.30551,0.30551,2
input3,Run C,22,6.30631,1920,1088,649672.0,0.0,0.311003,0.311003,1
input3,Run C,23,6.60661,1920,1088,661703.0,0.0,0.316762,0.316762,1
input3,Run C,24,6.90691,1920,1088,672850.0,0.0,0.322098,0.322098,1
input3,Run C,25,7.20721,1920,1088,684192.0,0.0,0.327528,0.327528,1
input3,Run C,26,7.50751,1920,1088,694571.0,0.0,0.332496,0.332496,2
input3,Run C,27,7.80781,1920,1088,705279.0,0.0,0.337622,0.337622,3
input3,Run C,28,8.10811,1920,1088,715831.0,0.0,0.342673,0.342673,3
input3,Run C,29,8.40841,1920,1088,725934.0,0.0,0.34751,0.34751,2
input3,Run C,30,8.70871,1920,1088,736137.0,0.0,0.352394,0.352394,2
input3,Run C,31,9.00901,1920,1088,746001.0,0.0,0.357116,0.357116,2
input3,Run C,32,9.30931,1920,1088,756339.0,0.0,0.362065,0.362065,3
input3,Run C,33,9.60961,1920,1088,766092.0,0.0,0.366734,0.366734,3
input3,Run C,34,9.90991,1920,1088,776327.0,0.0,0.371633,0.371633,2
input3,Run C,35,10.21021,1920,1088,786046.0,0.0,0.376286,0.376286,1
input3,Run C,36,10.51051,1920,1088,796057.0,0.0,0.381078,0.381078,2
input3,Run C,37,10.81081,1920,1088,805502.0,0.0,0.3856,0.3856,2
input3,Run C,38,11.11111,1920,1088,814733.0,0.0,0.390018,0.390018,1
input3,Run C,39,11.41141,1920,1088,823348.0,0.0,0.394143,0.394143,1
input3,Run C,40,11.71171,1920,1088,832452.0,0.0,0.398501,0.398501,1
input3,Run C,41,12.01201,1920,1088,841334.0,0.0,0.402753,0.402753,1
input3,Run C,42,12.31231,1920,1088,849990.0,0.0,0.406896,0.406896,1
input3,Run C,43,12.61261,1920,1088,858510.0,0.0,0.410975,0.410975,1
input3,Run C,44,12.91291,1920,1088,866892.0,0.0,0.414987,0.414987,1
input3,Run C,45,13.21321,1920,1088,875349.0,0.0,0.419036,0.419036,1
input3,Run C,46,13.51351,1920,1088,883479.0,0.0,0.422928,0.422928,1
input3,Run C,47,13.81381,1920,1088,893264.0,0.0,0.427612,0.427612,1
input3,Run C,48,14.11411,1920,1088,901657.0,0.0,0.43163,0.43163,1
input3,Run C,49,14.41441,1920,1088,910747.0,0.0,0.435981,0.435981,1
input3,Run C,50,14.71471,1920,1088,918975.0,0.0,0.43992,0.43992,1
input3,Run C,51,15.01502,1920,1088,928779.0,0.0,0.444613,0.444613,1
input3,Run C,52,15.31532,1920,1088,936845.0,0.0,0.448474,0.448474,1
input3,Run C,53,15.61562,1920,1088,944504.0,0.0,0.452141,0.452141,1
input3,Run C,54,15.91592,1920,1088,952800.0,0.0,0.456112,0.456112,2
input3,Run C,55,16.21622,1920,1088,960389.0,0.0,0.459745,0.459745,1
input3,Run C,56,16.51652,1920,1088,967682.0,0.0,0.463236,0.463236,1
input3,Run C,57,16.81682,1920,1088,974948.0,0.0,0.466715,0.466715,1
input3,Run C,58,17.11712,1920,1088,982115.0,0.0,0.470145,0.470145,1
input3,Run C,59,17.41742,1920,1088,989807.0,0.0,0.473828,0.473828,1
input3,Run C,60,17.71772,1920,1088,997238.0,0.0,0.477385,0.477385,1
input3,Run C,61,18.01802,1920,1088,1005218.0,0.0,0.481205,0.481205,1
input3,Run C,62,18.31832,1920,1088,1012185.0,0.0,0.48454,0.48454,1
input3,Run C,63,18.61862,1920,1088,1019850.0,0.0,0.488209,0.488209,2
input3,Run C,64,18.91892,1920,1088,1026967.0,0.0,0.491616,0.491616,2
input3,Run C,65,19.21922,1920,1088,1033639.0,0.0,0.49481,0.49481,2
input3,Run C,66,19.51952,1920,1088,1041139.0,0.0,0.498401,0.498401,2
input3,Run C,67,19.81982,1920,1088,1048132.0,0.0,0.501748,0.501748,2
input3,Run C,68,20.12012,1920,1088,1055221.0,0.0,0.505142,0.505142,2
input3,Run C,69,20.42042,1920,1088,1061947.0,0.0,0.508362,0.508362,2
input3,Run C,70,20.72072,1920,1088,1069055.0,0.0,0.511764,0.511764,2
input3,Run C,71,21.02102,1920,1088,1075707.0,0.0,0.514949,0.514949,2
input3,Run C,72,21.32132,1920,1088,1082435.0,0.0,0.518169,0.518169,2
input3,Run C,73,21.62162,1920,1088,1091388.0,0.0,0.522455,0.522455,2
input3,Run C,74,21.92192,1920,1088,1097508.0,0.0,0.525385,0.525385,2
input3,Run C,75,22.22222,1920,1088,1104058.0,0.0,0.52852,0.52852,1
input3,Run C,76,22.52252,1920,1088,1111311.0,0.0,0.531992,0.531992,1
input3,Run C,77,22.82282,1920,1088,1118435.0,0.0,0.535403,0.535403,1
input3,Run C,78,23.12312,1920,1088,1125679.0,0.0,0.538871,0.538871,1
input3,Run C,79,23.42342,1920,1088,1133267.0,0.0,0.542503,0.542503,1
input3,Run C,80,23.72372,1920,1088,1140659.0,0.0,0.546042,0.546042,1
input3,Run C,81,24.02402,1920,1088,1147620.0,0.0,0.549374,0.549374,1
input3,Run C,82,24.32432,1920,1088,1155801.0,0.0,0.55329,0.55329,1
input3,Run C,83,24.62462,1920,1088,1162986.0,0.0,0.55673,0.55673,1
input3,Run C,84,24.92492,1920,1088,1170618.0,0.0,0.560383,0.560383,1
input3,Run C,85,25.22523,1920,1088,1179089.0,0.0,0.564438,0.564438,2
input3,Run C,86,25.52553,1920,1088,1195741.0,0.0,0.57241,0.57241,5
input3,Run C,87,25.82583,1920,1088,1194021.0,0.0,0.571586,0.571586,2
input3,Run C,88,26.12613,1920,1088,1201082.0,0.0,0.574966,0.574966,2
input3,Run C,89,26.42643,1920,1088,1208198.0,0.0,0.578373,0.578373,2
input3,Run C,90,26.72673,1920,1088,1215980.0,0.0,0.582098,0.582098,2
input3,Run C,91,27.02703,1920,1088,1222724.0,0.0,0.585327,0.585327,2
input3,Run C,92,27.32733,1920,1088,1230120.0,0.0,0.588867,0.588867,1
input3,Run C,93,27.62763,1920,1088,1236680.0,0.0,0.592008,0.592008,1
input3,Run C,94,27.92793,1920,1088,1244240.0,0.0,0.595627,0.595627,2
input3,Run C,95,28.22823,1920,1088,1251339.0,0.0,0.599025,0.599025,2
input3,Run C,96,28.52853,1920,1088,1258588.0,0.0,0.602495,0.602495,2
input3,Run C,97,28.82883,1920,1088,1265545.0,0.0,0.605825,0.605825,2
input3,Run C,98,29.12913,1920,1088,1272496.0,0.0,0.609153,0.609153,2
input3,Run C,99,29.42943,1920,1088,1278620.0,0.0,0.612084,0.612084,2
input3,Run C,100,29.72973,1920,1088,1283776.0,0.0,0.614553,0.614553,1
input3,Run C,101,30.03003,1920,1088,1288883.0,0.0,0.616997,0.616997,1
input3,Run C,102,30.33033,1920,1088,1294819.0,0.0,0.619839,0.619839,1
input3,Run C,103,30.63063,1920,1088,1299424.0,0.0,0.622044,0.622044,1
input3,Run C,104,30.93093,1920,1088,1303681.0,0.0,0.624081,0.624081,1
input3,Run C,105,31.23123,1920,1088,1307733.0,0.0,0.626021,0.626021,1
input3,Run C,106,31.53153,1920,1088,1311641.0,0.0,0.627892,0.627892,1
input3,Run C,107,31.83183,1920,1088,1315723.0,0.0,0.629846,0.629846,1
input3,Run C,108,32.13213,1920,1088,1319238.0,0.0,0.631529,0.631529,1
input3,Run C,109,32.43243,1920,1088,1322771.0,0.0,0.63322,0.63322,1
input3,Run C,110,32.73273,1920,1088,1325979.0,0.0,0.634756,0.634756,1
input3,Run C,111,33.03303,1920,1088,1329257.0,0.0,0.636325,0.636325,1
input3,Run C,112,33.33333,1920,1088,1332321.0,0.0,0.637792,0.637792,1
input3,Run C,113,33.63363,1920,1088,1335267.0,0.0,0.639202,0.639202,1
input3,Run C,114,33.93393,1920,1088,1338152.0,0.0,0.640583,0.640583,1
input3,Run C,115,34.23423,1920,1088,1341106.0,0.0,0.641997,0.641997,1
input3,Run C,116,34.53453,1920,1088,1344384.0,0.0,0.643566,0.643566,1
input3,Run C,117,34.83483,1920,1088,1347404.0,0.0,0.645012,0.645012,1
input3,Run C,118,35.13514,1920,1088,1350327.0,0.0,0.646411,0.646411,1
input3,Run C,119,35.43544,1920,1088,1353033.0,0.0,0.647707,0.647707,1
input3,Run C,120,35.73574,1920,1088,1355363.0,0.0,0.648822,0.648822,1
input3,Run C,121,36.03604,1920,1088,1358770.0,0.0,0.650453,0.650453,1
input3,Run C,122,36.33634,1920,1088,1360859.0,0.0,0.651453,0.651453,1
input3,Run C,123,36.63664,1920,1088,1363439.0,0.0,0.652688,0.652688,1
input3,Run C,124,36.93694,1920,1088,1365977.0,0.0,0.653903,0.653903,1
input3,Run C,125,37.23724,1920,1088,1368354.0,0.0,0.655041,0.655041,1
