slug,display_name,frame_index,time_seconds,width,height,wet_area_px,dry_area_px,wet_fraction_roi,wet_fraction_frame,annotation_count
input2,Run B,76,22.52252,1920,1088,1546209.0,0.0,0.740181,0.740181,3
input2,Run B,77,22.82282,1920,1088,1549390.0,0.0,0.741704,0.741704,2
input2,Run B,78,23.12312,1920,1088,1553200.0,0.0,0.743528,0.743528,3
input2,Run B,79,23.42342,1920,1088,1556040.0,0.0,0.744887,0.744887,2
input2,Run B,80,23.72372,1920,1088,1558774.0,0.0,0.746196,0.746196,1
input2,Run B,81,24.02402,1920,1088,1561924.0,0.0,0.747704,0.747704,1
input2,Run B,82,24.32432,1920,1088,1565099.0,0.0,0.749224,0.749224,2
input2,Run B,83,24.62462,1920,1088,1570711.0,0.0,0.751911,0.751911,2
input2,Run B,84,24.92492,1920,1088,1574267.0,0.0,0.753613,0.753613,2
input2,Run B,85,25.22523,1920,1088,1576593.0,0.0,0.754726,0.754726,2
input2,Run B,86,25.52553,1920,1088,1580249.0,0.0,0.756476,0.756476,2
input2,Run B,87,25.82583,1920,1088,1583280.0,0.0,0.757927,0.757927,2
input2,Run B,88,26.12613,1920,1088,1586288.0,0.0,0.759367,0.759367,2
input2,Run B,89,26.42643,1920,1088,1590096.0,0.0,0.76119,0.76119,2
input2,Run B,90,26.72673,1920,1088,1591752.0,0.0,0.761983,0.761983,2
input2,Run B,91,27.02703,1920,1088,1594484.0,0.0,0.763291,0.763291,2
input2,Run B,92,27.32733,1920,1088,1596931.0,0.0,0.764462,0.764462,2
input2,Run B,93,27.62763,1920,1088,1599021.0,0.0,0.765463,0.765463,2
input2,Run B,94,27.92793,1920,1088,1601131.0,0.0,0.766473,0.766473,2
input2,Run B,95,28.22823,1920,1088,1603675.0,0.0,0.767691,0.767691,2
input2,Run B,96,28.52853,1920,1088,1606159.0,0.0,0.76888,0.76888,2
input2,Run B,97,28.82883,1920,1088,1615249.0,0.0,0.773231,0.773231,2
input2,Run B,98,29.12913,1920,1088,1617641.0,0.0,0.774376,0.774376,2
input2,Run B,99,29.42943,1920,1088,1624677.0,0.0,0.777744,0.777744,2
input2,Run B,100,29.72973,1920,1088,1627905.0,0.0,0.77929,0.77929,2
