slug,display_name,frame_index,time_seconds,width,height,wet_area_px,dry_area_px,wet_fraction_roi,wet_fraction_frame,annotation_count
input1,Run A,1,0.0,1920,1080,0,0.0,0.0,0.0,0
input1,Run A,2,0.03337,1920,1080,30285.0,0.0,0.029806,0.014605,1
input1,Run A,3,0.06673,1920,1080,41435.0,0.0,0.04078,0.019982,2
input1,Run A,4,0.1001,1920,1080,43681.0,0.0,0.04299,0.021065,4
input1,Run A,5,0.13347,1920,1080,47049.0,0.0,0.046305,0.02269,3
input1,Run A,6,0.16683,1920,1080,64560.0,0.0,0.063539,0.031134,13
input1,Run A,7,0.2002,1920,1080,57343.0,0.0,0.056436,0.027654,7
input1,Run A,8,0.23357,1920,1080,52457.0,0.0,0.051628,0.025298,4
input1,Run A,9,0.26693,1920,1080,54147.0,0.0,0.053291,0.026113,5
input1,Run A,10,0.3003,1920,1080,54399.0,0.0,0.053539,0.026234,5
input1,Run A,11,0.33367,1920,1080,62698.0,0.0,0.061707,0.030236,8
input1,Run A,12,0.36703,1920,1080,68814.0,0.0,0.067726,0.033186,11
input1,Run A,13,0.4004,1920,1080,65820.0,0.0,0.064779,0.031742,9
input1,Run A,14,0.43377,1920,1080,75291.0,0.0,0.074101,0.036309,15
input1,Run A,15,0.46713,1920,1080,128326.0,0.0,0.126297,0.061886,20
input1,Run A,16,0.5005,1920,1080,95070.0,0.0,0.093567,0.045848,19
input1,Run A,17,0.53387,1920,1080,398748.0,0.0,0.392444,0.192297,17
input1,Run A,18,0.56723,1920,1080,401343.0,0.0,0.394998,0.193549,16
input1,Run A,19,0.6006,1920,1080,420386.0,0.0,0.41374,0.202732,15
input1,Run A,20,0.63397,1920,1080,449532.0,0.0,0.442425,0.216788,14
input1,Run A,21,0.66733,1920,1080,535316.0,0.0,0.526853,0.258158,20
input1,Run A,22,0.7007,1920,1080,560664.0,0.0,0.5518,0.270382,23
input1,Run A,23,0.73407,1920,1080,540946.0,0.0,0.532394,0.260873,21
input1,Run A,24,0.76743,1920,1080,541595.0,0.0,0.533032,0.261186,20
input1,Run A,25,0.8008,1920,1080,544134.0,0.0,0.535531,0.26241,22
input1,Run A,26,0.83417,1920,1080,550335.0,0.0,0.541634,0.265401,19
input1,Run A,27,0.86753,1920,1080,550332.0,0.0,0.541631,0.265399,19
input1,Run A,28,0.9009,1920,1080,550972.0,0.0,0.542261,0.265708,19
input1,Run A,29,0.93427,1920,1080,551017.0,0.0,0.542305,0.26573,19
input1,Run A,30,0.96763,1920,1080,551932.0,0.0,0.543206,0.266171,19
input1,Run A,31,1.001,1920,1080,564478.0,0.0,0.555554,0.272221,20
input1,Run A,32,1.03437,1920,1080,552708.0,0.0,0.54397,0.266545,19
input1,Run A,33,1.06773,1920,1080,553362.0,0.0,0.544613,0.266861,20
input1,Run A,34,1.1011,1920,1080,553049.0,0.0,0.544305,0.26671,20
